iata
LGA,
DCA,
MDW,
SNA,
BUR,
OAK,
DAL,
HOU,
AZA,
COS,
PAE,
PIE,
SFB,
USA,
PGD,
OGD,
LIH,
OGG,
CAK,
ORH,
SIG,
YFB,//canada
YHU,
YPL,
YRT,
YTZ,
YVP,
YXL,
YZV,
TLC,//mexico
CJS,
PAC,//pa
BLB,
ORK,//EU
EIN,
CRL,
ANR,
BVA,
FNI,
TLN,
HHN,
LBC,
FKB,
NRN,
BRE,
DTM,
FMM,
REU,
GRO,
LIN,
CIA,
TSF,
NYO,
BMA,
TRF,
WMI,
BBU,
CAT,
AGH,
ORK,
//GB
BHD,
KOI,
RKV,//iceland
UAK,//greenland
JAV,
TSN,//china
WNZ,
SHA,
ZUH,
LHW,
HUZ,
FUO,
CTU,
ITM,//japan
UKB,
IBR,
OKD,
GAJ,
GMP,//korea
USN,
MYY,//malaysia
SZB,
AEP,//argentina
CGH,//brazil
SDU,
EOH,//colombia
FLA,
LSC,//chile
JBQ,//dominican-republic
THR,//iran
PGU,
ABD,
KIH,
AWZ,
HDO,//india
DHM,
BDQ,
PNY,
AIP,
STV,
KNU,
NAG,
CEK,//russia
KJA,
KEJ,
BTK,
YKS,
NSK,
UUS,
ZIA,
WIL,//eastern africa
HLA,//southern africa
ERS,
HLP,//indonesia
SOC,
AVV,//Australia
MCY,
LST
