iata,strength
JED,75
AYT,75
IST,75
NRT,65
DAD,64
CDG,64
DPS,63
PQC,60
LHR,60
BCN,57
DXB,55
AMS,55
HKT,54
USM,52
UTP,52
CUN,50
KUL,50
TFS,50
FCO,50
MEX,50
ATH,50
BOM,49
CXR,49
KBV,49
PVG,49
HRG,48
BKK,48
KIX,48
SGN,48
JFK,47
SIN,47
CNX,46
CUZ,46
LAX,46
SYD,45
SAW,45
CMN,45
BOG,44
DEL,44
HER,44
MLE,43
MAD,42
RHO,42
NLU,42
SCL,41
HKG,41
PMI,40
TFN,40
MBJ,40
ICN,40
TPE,40
GRU,39
LIS,39
PUJ,38
RMF,38
YVR,38
NCE,38
LGK,38
HNL,37
SSH,37
NAN,37
GOI,37
DJE,36
CPT,36
CMB,36
CZM,36
ADB,35
GIG,35
LED,35
PNH,35
CAI,35
VIE,35
DOH,35
HAV,34
YYZ,34
TLV,34
MED,33
BER,33
DLM,33
VCE,33
SPX,33
EWR,33
ALC,32
LCA,32
OOL,32
BJV,32
LGW,32
MIA,32
IBZ,31
ACE,31
ASR,31
RUH,30
MEL,30
RAK,30
LIM,30
FUE,30
DME,30
EZE,30
PTY,30
AGP,29
SAI,29
MAH,29
KTM,29
SLL,29
PEN,28
PPT,28
MRU,28
OPO,28
MCT,28
MUC,27
LPB,27
PEK,27
LPA,26
BKI,26
PRG,26
LAS,25
CTG,25
HAN,25
GOX,25
CPH,25
ZNZ,25
EDI,25
SJD,24
LAP,24
VRA,24
BUD,24
NOU,24
POP,24
TIA,24
TUN,24
BGY,24
FNC,23
SID,23
GUM,23
GVA,23
BAH,22
CTA,22
SVO,22
MPH,22
KGS,22
AKL,22
HUI,22
PDL,21
CHQ,21
NAP,21
KEF,21
GZP,21
SEZ,21
TER,21
KIN,21
CIA,20
COV,20
VKO,20
CJC,20
LPQ,20
MXP,20
PFO,20
IKA,20
STN,20
CTS,19
SFO,19
ZRH,19
REU,19
OGG,18
POA,18
ZQN,18
SHJ,18
PER,18
JNB,18
MIR,18
MVD,18
JRO,18
TBS,18
PBH,18
BVC,18
SYX,17
MNL,17
VAR,17
DUB,17
CEB,17
SJU,17
SSA,17
COK,17
TNG,17
NBE,17
BEY,17
MCO,16
OKA,16
BNE,16
PSA,16
FLR,16
AUA,16
OSL,16
BVC,16
BGI,16
BSL,16
SJO,16
CJU,15
CAG,15
RUN,15
CUR,15
JTR,15
ARN,15
DRW,15
IAD,15
GPS,15
HEL,15
PBH,15
ROR,15
USH,15
PUQ,15
FAO,14
PVR,14
PMO,14
CNS,14
CFU,14
KRK,14
LIR,14
VCS,14
YQB,14
PQC,14
ZIH,14
BOJ,14
HPH,14
TZX,14
TIV,13
RTB,13
EVN,13
DLI,13
KOS,12
SKD,12
NAS,12
SXM,12
TFU,12
STT,12
JMK,12
QSR,12
PLZ,12
HDS,12
WAW,12
PPS,12
EBB,12
LBJ,12
MAO,12
PDP,12
RAI,12
TQO,12
VTE,12
IQT,12
SMA,12
TPS,12
TIR,12
ROR,12
PKR,12
ADD,12
GLA,12
BTH,11
DBV,11
VFA,11
MRS,11
AMM,11
ZTH,11
BJL,11
GAN,11
LXA,11
VDO,11
LRM,11
TGD,11
YUL,10
PTP,10
DMK,10
GYD,10
MFM,10
SPU,10
SPC,10
YHZ,10
HUX,10
CGK,10
RBA,10
BOD,10
BWN,10
JNU,10
TNM,10
AUH,10
FLG,10
FLW,10
BUS,10
BRS,10
REC,9
LVI,9
BRI,9
NBO,9
JAI,9
TRN,9
YZF,9
ANC,9
GUA,9
CCJ,9
FEZ,9
LTN,9
AER,8
TOS,8
IGU,8
UVF,8
ANU,8
YYT,8
MUB,8
STX,8
SZG,8
MQP,8
CCC,8
GND,8
UPN,8
VDE,8
TAO,8
NJF,8
NOS,8
BRN,8
JHB,8
ESU,8
VLI,8
GZT,8
VXE,8
MSY,7
IGR,7
BIO,7
SZG,7
KLO,7
XIY,7
LIF,7
LJU,7
GDT,7
BZE,7
GOA,7
FAI,7
RAR,7
IAG,7
CGY,7
ASW,7
KLX,7
INV,7
BOB,7
FDF,6
GMZ,6
TLN,6
LUA,6
MBA,6
CGB,6
CYO,6
BTS,6
FPO,6
LXR,6
PNT,6
SJZ,6
WVB,6
FAE,6
VRN,6
HAH,6
NUM,6
ACA,6
GGT,6
PJM,6
AXA,6
BOC,6
SMR,5
VLC,5
BRC,5
PXO,5
BON,5
SVQ,5
MCZ,5
XIY,5
EYW,5
AYQ,5
IAO,5
FTE,5
MPL,5
FAT,5
SLC,5
GCN,5
SXB,5
GHB,5
TNJ,5
