iata,strength
UTK,5
EJT,4
PCP,1
PGK,1
KEF,1
UJE,4
AUL,4
JEJ,4
LIK,4
MJE,4
UIT,4
WTE,4
WTO,4
MIJ,4
FUN,4
TRW,4
BBG,4
AAK,4
SSR,3
TGH,3
OLJ,3
FTA,3
KWA,4
CXI,6
TKK,4
PNI,4
KSA,4
YAP,4
KIO,4
AGX,1
NNB,2
UII,1
LOD,3
WLH,3
MAJ,4
RBV,1
INU,4
PBJ,3
SCT,1
MHM,1
LNV,1
SCZ,3
RKI,1
FRE,1
ROP,4
YCK,4
MUA,1
YRG,2
YDL,2
OFU,4
IRA,1
GZO,1
NUS,3
TAH,3
YYT,1
YLC,4
CUQ,2
LPD,1
FTI,4
ASI,4
TKJ,2
MFJ,1
BTI,3
AKS,1
YSG,3
YFJ,3
YEU,6
NTT,4
PTP,1
ANV,3
QJH,4
PTH,4
JGR,4
YBE,3
KFG,2
LRV,1
ZXB,3
ONG,4
BUA,1
EUA,4
YBV,1
PDB,2
YPL,2
CIS,6
AIN,4
PBH,1
XTG,3
ZUM,2
PTU,4
TMS,1
IUE,4
PLX,1
CNC,2
OKR,2
NRL,1
EGA,6
HLE,4
ORT,2
KCG,4
YNA,2
ZFN,3
MAS,1
HPA,4
EH1,1
CEM,2
EAA,2
CKX,2
GMI,1
QJI,5
CCK,3
WNR,3
AWK,5
NAM,1
YFX,2
PPW,1
YAQ,6
BEU,3
FDF,1
PXH,3
ILI,2
UAH,5
EGX,3
QAO,6
YLT,6
HAA,2
SDN,1
YPY,2
TEK,2
YDV,1
HCR,3
RUL,3
BVI,3
DIO,4
JTY,1
GKN,1
MLY,2
KVG,1
ZTM,3
TZN,1
ILF,2
KEP,1
OBY,4
IAM,2
THU,5
SYU,2
YGZ,5
STG,5
YAS,1
ARC,3
EGR,5
AAY,1
TLA,4
WMO,4
ARD,1
SLX,1
RBY,3
NSP,6
PIZ,4
XPK,1
IOR,1
YRB,5
TIQ,4
YIK,4
QAB,5
VAV,4
CYO,1
MYU,4
KSJ,1
NUI,4
WRG,3
MYE,1
ZTB,2
NJC,1
UAP,5
SNB,2
AXP,2
ABL,3
JJU,4
JNS,4
INQ,1
YLE,3
CNP,4
FEN,1
DRJ,2
IBB,3
SRK,5
IIA,1
GJA,1
KUZ,4
HSL,3
XMY,1
QFI,5
QRY,5
QPW,5
AUU,2
ULO,1
YAA,1
SBR,2
JCH,5
THO,3
BQL,3
JGO,5
ICC,1
AKP,3
BIR,1
ADK,5
AHG,4
PQS,4
MSA,2
MCG,3
QFN,4
MNF,1
SPN,4
TNK,4
YBX,2
YOH,2
AKN,2
YTQ,3
KRB,3
TNM,4
ULG,1
SON,3
MYI,1
SNP,4
EDR,2
YFA,2
ZKE,2
ULZ,1
LDH,2
MFA,1
YMN,3
VLI,3
YSO,3
RET,2
GAL,3
BUC,3
ZFD,2
KZS,1
ZPB,2
QJE,5
QCU,5
HNS,3
ANI,3
CHT,6
YZP,3
KUG,2
YTL,2
SOV,2
KGQ,5
YGH,3
NUP,4
OLH,2
AGM,4
MYG,2
SGC,1
IGA,1
WRY,1
WTK,4
PTF,2
